Wavelength_nm,Response,ExcelInterp,CSVIntensityNorm,ShiftApplied,WL_Min_Filter
494.227539,1.1584479,0.12540634,0.14527671,2.374402,403.00
494.450561,1.1778396,0.12647067,0.14896217,2.374402,403.00
494.673584,1.1229763,0.12755627,0.14324266,2.374402,403.00
494.896606,1.1439622,0.12868438,0.14721007,2.374402,403.00
495.119659,1.1640076,0.12982479,0.15111705,2.374402,403.00
495.342712,1.1258786,0.13098381,0.14747187,2.374402,403.00
495.565765,1.148399,0.13213297,0.15174137,2.374402,403.00
495.788849,1.1546355,0.13332045,0.15393652,2.374402,403.00
496.011902,1.1687047,0.13454154,0.15723934,2.374402,403.00
496.235016,1.1378808,0.13581449,0.1545407,2.374402,403.00
496.458130,1.143896,0.13705454,0.15677614,2.374402,403.00
496.681244,1.1455751,0.13827763,0.15840741,2.374402,403.00
496.904388,1.1708315,0.13950895,0.16334148,2.374402,403.00
497.127564,1.1471412,0.14079245,0.16150882,2.374402,403.00
497.350708,1.1699704,0.14202151,0.16616096,2.374402,403.00
497.573883,1.1715267,0.14329402,0.16787278,2.374402,403.00
497.797089,1.1523526,0.14457729,0.16660402,2.374402,403.00
498.020294,1.1681959,0.14585752,0.17039016,2.374402,403.00
498.243500,1.159357,0.14714325,0.17059156,2.374402,403.00
498.466736,1.1553794,0.14846906,0.17153809,2.374402,403.00
498.689972,1.1868437,0.14982723,0.1778215,2.374402,403.00
498.913208,1.1824484,0.1511676,0.1787479,2.374402,403.00
499.136475,1.1850418,0.15251922,0.18074166,2.374402,403.00
499.359741,1.1766451,0.15384723,0.1810236,2.374402,403.00
